id,re_x,re_y
IS481_RS00005,5078.17,8242.17
IS481_RS00010,2682.0,5001.33
IS481_RS00015,7094.0,11808.08
IS481_RS00020,112.0,155.83
IS481_RS00025,1183.0,2932.33
IS481_RS00030,1188.5,1489.0
IS481_RS00035,395.0,443.83
IS481_RS00040,667.0,572.5
IS481_RS00045,438.83,507.5
IS481_RS00050,287.83,326.83
IS481_RS00055,492.0,369.5
IS481_RS00060,77.83,113.0
IS481_RS00065,85.5,148.17
IS481_RS00070,47.0,98.83
IS481_RS00075,56.33,91.5
IS481_RS00080,595.83,533.5
IS481_RS00085,87.5,160.5
IS481_RS00090,74.5,100.0
IS481_RS00095,112.0,141.67
IS481_RS00100,296.0,246.08
IS481_RS00105,4832.33,849.0
IS481_RS00115,1985.83,6200.5
IS481_RS00120,3237.33,1853.0
IS481_RS00125,3872.33,3907.67
IS481_RS00130,688.0,718.67
IS481_RS00135,374.5,179.0
IS481_RS00140,695.0,707.5
IS481_RS00145,1537.5,1437.0
IS481_RS00150,27.5,33.0
IS481_RS00155,7847.0,3536.33
IS481_RS00160,129925.58,56604.92
IS481_RS00175,4693.5,1889.67
IS481_RS00180,2729.5,3218.5
IS481_RS00185,157.17,118.0
IS481_RS00190,490.83,789.83
IS481_RS00195,156.33,383.83
IS481_RS00200,223.0,587.17
IS481_RS00205,198.0,736.83
IS481_RS00210,103.83,153.83
IS481_RS00215,410.5,258.5
IS481_RS00220,749.33,647.5
IS481_RS00225,2055.0,1483.33
IS481_RS00230,8724.0,10314.58
IS481_RS00235,327.33,390.0
IS481_RS00240,719.33,909.83
IS481_RS00245,224.67,357.33
IS481_RS00250,1699.5,1358.0
IS481_RS00255,208.83,244.0
IS481_RS00260,72.5,179.33
IS481_RS00265,123.33,348.0
IS481_RS00270,150.0,261.83
IS481_RS00275,127.33,189.5
IS481_RS00280,96.0,112.08
IS481_RS00285,1901.42,1747.83
IS481_RS00290,8539.33,3644.0
IS481_RS00295,372.0,487.5
IS481_RS00300,400.0,283.33
IS481_RS00305,798.0,582.0
IS481_RS00310,190.83,195.67
IS481_RS00315,199.5,259.0
IS481_RS00320,609.0,864.5
IS481_RS00325,1465.83,892.83
IS481_RS00330,4500.83,26062.5
IS481_RS00335,10723.83,66221.67
IS481_RS00340,16103.83,104409.78
IS481_RS00345,309.0,963.33
IS481_RS00350,900.5,2176.67
IS481_RS00355,714.5,926.83
IS481_RS00360,81307.58,309160.33
IS481_RS00365,673.53,977.0
IS481_RS00370,1196.67,3142.25
IS481_RS00375,978.33,2228.75
IS481_RS00380,2930.33,2052.83
IS481_RS00390,1475.5,887.5
IS481_RS00395,3486.5,8435.83
IS481_RS00400,337.0,1684.0
IS481_RS00405,402.0,656.5
IS481_RS00410,69.0,69.0
IS481_RS00415,632.5,485.33
IS481_RS00420,260.0,330.33
IS481_RS00425,1327.5,1685.5
IS481_RS00430,2321.0,1839.83
IS481_RS00435,1650.33,1655.33
IS481_RS00440,8243.0,12720.67
IS481_RS00445,2704.83,5308.0
IS481_RS00450,3770.0,4589.0
IS481_RS00455,2380.5,2488.0
