id,re_x,re_y
IS481_00005,5078.17,8242.17
IS481_00010,2682.0,5001.33
IS481_00015,7094.0,11808.08
IS481_00020,112.0,155.83
IS481_00025,1183.0,2932.33
IS481_00030,1188.5,1489.0
IS481_00035,395.0,443.83
IS481_00040,667.0,572.5
IS481_00045,438.83,507.5
IS481_00050,287.83,326.83
IS481_00055,492.0,369.5
IS481_00060,77.83,113.0
IS481_00065,85.5,148.17
IS481_00070,47.0,98.83
IS481_00075,56.33,91.5
IS481_00080,595.83,533.5
IS481_00085,87.5,160.5
IS481_00090,74.5,100.0
IS481_00095,112.0,141.67
IS481_00100,296.0,246.08
IS481_00105,4832.33,849.0
IS481_00115,1985.83,6200.5
IS481_00120,3237.33,1853.0
IS481_00125,3872.33,3907.67
IS481_00130,688.0,718.67
IS481_00135,374.5,179.0
IS481_00140,695.0,707.5
IS481_00145,1537.5,1437.0
IS481_00150,27.5,33.0
IS481_00155,7847.0,3536.33
IS481_00160,129925.58,56604.92
IS481_00175,4693.5,1889.67
IS481_00180,2729.5,3218.5
IS481_00185,157.17,118.0
IS481_00190,490.83,789.83
IS481_00195,156.33,383.83
IS481_00200,223.0,587.17
IS481_00205,198.0,736.83
IS481_00210,103.83,153.83
IS481_00215,410.5,258.5
IS481_00220,749.33,647.5
IS481_00225,2055.0,1483.33
IS481_00230,8724.0,10314.58
IS481_00235,327.33,390.0
IS481_00240,719.33,909.83
IS481_00245,224.67,357.33
IS481_00250,1699.5,1358.0
IS481_00255,208.83,244.0
IS481_00260,72.5,179.33
IS481_00265,123.33,348.0
IS481_00270,150.0,261.83
IS481_00275,127.33,189.5
IS481_00280,96.0,112.08
IS481_00285,1901.42,1747.83
IS481_00290,8539.33,3644.0
IS481_00295,372.0,487.5
IS481_00300,400.0,283.33
IS481_00305,798.0,582.0
IS481_00310,190.83,195.67
IS481_00315,199.5,259.0
IS481_00320,609.0,864.5
IS481_00325,1465.83,892.83
IS481_00330,4500.83,26062.5
IS481_00335,10723.83,66221.67
IS481_00340,16103.83,104409.78
IS481_00345,309.0,963.33
IS481_00350,900.5,2176.67
IS481_00355,714.5,926.83
IS481_00360,81307.58,309160.33
IS481_00365,673.53,977.0
IS481_00370,1196.67,3142.25
IS481_00375,978.33,2228.75
IS481_00380,2930.33,2052.83
IS481_00390,1475.5,887.5
IS481_00395,3486.5,8435.83
IS481_00400,337.0,1684.0
IS481_00405,402.0,656.5
IS481_00410,69.0,69.0
IS481_00415,632.5,485.33
IS481_00420,260.0,330.33
IS481_00425,1327.5,1685.5
IS481_00430,2321.0,1839.83
IS481_00435,1650.33,1655.33
IS481_00440,8243.0,12720.67
IS481_00445,2704.83,5308.0
IS481_00450,3770.0,4589.0
IS481_00455,2380.5,2488.0
IS481_00460,1643.0,1186.25
IS481_00465,1519.0,1429.83
IS481_00470,4066.5,3392.83
IS481_00475,2613.0,1828.17
IS481_00480,1997.33,1787.33
IS481_00485,3311.83,4404.17
IS481_00490,924.0,967.0
IS481_00495,3355.33,10531.5
IS481_00500,727.5,5563.5
IS481_00505,417.0,904.0
IS481_00510,1205.0,2292.0
IS481_00515,1448.5,5794.67
IS481_00520,2156.5,4460.33
IS481_00525,446.5,611.83
IS481_00530,303.2,516.17
IS481_00535,773.83,1305.0
IS481_00540,287.33,409.33
IS481_00545,653.75,1109.75
IS481_00550,354.33,366.5
IS481_00555,1091.5,2166.0
IS481_00560,2120.33,2494.0
IS481_00565,700.5,620.83
IS481_00570,2391.0,1198.33
IS481_00575,2414.33,1287.5
IS481_00580,5235.0,2991.17
IS481_00585,1813.33,1347.33
IS481_00590,4425.33,3081.17
IS481_00595,5931.17,6178.17
IS481_00600,6035.67,4359.67
IS481_00605,3575.83,3329.75
IS481_00610,3297.83,1889.08
IS481_00615,835.17,365.83
IS481_00620,305.0,166.75
IS481_00625,5132.92,4684.33
IS481_00630,1750.0,1250.83
IS481_00635,482.83,416.5
IS481_00640,2410.83,1950.33
IS481_00645,2072.17,4161.08
IS481_00650,320.0,428.83
IS481_00655,663.67,678.5
IS481_00660,7105.33,5605.33
IS481_00665,2008.83,1240.5
IS481_00670,2040.0,3305.5
IS481_00675,9576.17,10397.17
IS481_00680,6048.33,8388.78
IS481_00685,1195.5,1741.83
IS481_00690,18393.33,14014.0
IS481_00695,4824.33,2478.33
IS481_00700,1407.33,829.0
IS481_00705,3943.17,2958.0
IS481_00710,3014.83,2375.83
IS481_00715,4310.83,12199.0
IS481_00720,3655.5,6875.0
IS481_00725,9674.5,7748.92
IS481_00730,485.83,398.83
IS481_00735,430.5,477.83
IS481_00740,1737.17,2111.17
IS481_00745,161.5,286.83
IS481_00750,1174.0,2264.75
IS481_00755,363.0,528.83
IS481_00760,1235.83,1087.33
IS481_00765,2104.17,1303.33
IS481_00770,1312.0,1669.83
IS481_00775,32733.0,58727.17
IS481_00780,5861.0,9511.33
IS481_00785,4634.83,4827.92
IS481_00790,12390.83,17175.25
IS481_00795,11636.17,17228.17
IS481_00800,7129.17,7486.17
IS481_00805,11883.75,11203.0
IS481_00810,7492.25,13071.33
IS481_00815,9326.58,16837.75
IS481_00820,4123.17,4385.67
IS481_00825,4024.17,3676.5
IS481_00830,55825.83,134493.67
IS481_00835,2939.5,6233.83
IS481_00840,1219.17,2049.75
IS481_00845,602.5,1244.2
IS481_00850,3832.33,1402.83
IS481_00855,1745.5,1418.33
IS481_00860,5906.75,4560.33
IS481_00865,1878.83,1513.33
IS481_00870,2712.5,2505.5
IS481_00875,2734.33,1369.33
IS481_00880,2267.67,4995.33
IS481_00885,1195.83,5971.83
IS481_00890,2435.67,4891.75
IS481_00895,2125.0,3818.17
IS481_00900,8670.33,19331.17
IS481_00905,16320.33,34089.92
IS481_00910,1351.83,1108.5
IS481_00915,1389.5,1952.67
IS481_00920,2172.33,1657.0
IS481_00925,585.33,433.0
IS481_00930,305.33,277.0
IS481_00935,318.5,263.67
IS481_00940,580.33,421.0
IS481_00945,345.33,217.83
IS481_00950,196.0,160.83
IS481_00955,839.33,756.25
IS481_00960,967.0,868.0
IS481_00965,961.0,2911.17
IS481_00970,3084.0,2811.17
IS481_00975,319.83,472.33
IS481_00980,2714.17,1761.5
IS481_00985,2990.83,5280.0
IS481_00990,5325.0,5360.0
IS481_00995,6540.83,7974.67
IS481_01000,2229.0,2061.17
IS481_01005,1809.0,2145.33
IS481_01010,7458.67,5431.33
IS481_01015,3623.08,3370.5
IS481_01020,6052.58,5402.83
IS481_01025,4001.5,1935.33
IS481_01030,2333.5,1328.83
IS481_01035,2912.5,2409.67
IS481_01040,55.0,54.0
IS481_01045,6622.17,205786.0
IS481_01050,5012.0,1756.5
IS481_01055,1410.67,466.83
IS481_01060,1404.67,534.17
IS481_01065,7278.83,2210.0
IS481_01070,4021.67,5610.83
IS481_01075,3757.0,2708.0
IS481_01080,4840.33,3435.83
IS481_01085,7784.17,5488.67
IS481_01090,2353.0,2837.83
IS481_01095,8686.0,8293.33
IS481_01100,12551.17,10618.0
IS481_01105,4291.5,2511.17
IS481_01110,1538.5,1045.17
IS481_01115,1352.17,831.67
IS481_01120,310.75,212.83
IS481_01125,163.25,105.67
IS481_01130,595.25,314.33
IS481_01135,86.0,69.5
IS481_01140,94.33,93.0
IS481_01145,263.25,210.67
IS481_01150,221.92,138.83
IS481_01155,439.83,336.33
IS481_01160,816.17,493.17
IS481_01165,710.67,483.67
IS481_01170,901.5,878.33
IS481_01175,869.92,808.83
IS481_01180,166.08,157.0
IS481_01185,1015.17,922.5
IS481_01190,667.0,621.83
IS481_01195,4151.67,2575.17
IS481_01200,1764.83,1241.33
IS481_01205,4344.83,2421.83
IS481_01210,1424.17,1083.83
IS481_01215,4456.0,3384.0
IS481_01220,286.83,254.0
IS481_01225,355.33,255.0
IS481_01230,459.0,367.83
IS481_01235,591.67,359.0
IS481_01240,2038.83,1192.0
IS481_01245,3894.83,2371.33
IS481_01250,6411.0,2718.33
IS481_01255,3381.5,2026.5
IS481_01260,1132.0,588.25
IS481_01265,2437.5,2084.0
IS481_01270,7213.83,4687.83
IS481_01275,4670.0,1009.33
